	GSM3038876_M-17-1.CEL	GSM3038877_M-17-2.CEL	GSM3038878_M-17-3.CEL	GSM3038879_S-17-1.CEL	GSM3038880_S-17-2.CEL	GSM3038881_C-17-1.CEL	GSM3038882_C-17-2.CEL	GSM3038883_C-17-3.CEL	GSM3038884_M-24-1.CEL	GSM3038885_M-24-2.CEL	GSM3038886_M-24-3.CEL	GSM3038887_S-24-1.CEL	GSM3038888_S-24-2.CEL	GSM3038889_S-24-3.CEL	GSM3038890_C-24-1.CEL	GSM3038891_C-24-2.CEL	GSM3038892_C-24-3.CEL	GSM3038893_M-49-1.CEL	GSM3038894_M-49-2.CEL	GSM3038895_M-49-3.CEL	GSM3038896_S-49-1.CEL	GSM3038897_S-49-2.CEL	GSM3038898_S-49-3.CEL	GSM3038899_C-49-1.CEL	GSM3038900_C-49-2.CEL	GSM3038901_C-49-3.CEL
Solyc11g013840.1	6.303464064	5.785541475	5.965584466	5.137724997	5.877916398	5.929194359	5.788480977	5.56603191	5.950697426	6.365905147	6.097176434	5.921244467	6.054201943	6.215379697	5.517777883	5.702220316	5.977047362	5.995044326	6.360153141	5.898504968	6.011563679	6.002587909	6.072055876	5.994138035	6.564334639	5.547744638
Solyc11g016990.1	6.977761155	7.037789755	6.855913619	7.044458188	6.67018291	7.044309932	7.192435717	6.657361368	7.103415442	6.726377972	6.881655372	6.653029694	7.203987941	6.731165184	7.253843338	7.11947472	7.121825021	7.224349921	6.982400083	6.890258508	6.945749453	7.049203191	7.211880115	7.027499761	7.159842148	6.967448796
Solyc11g017000.1	5.054101783	5.790607239	5.635405771	6.290885457	5.113407443	5.386612242	6.178260976	6.525674893	5.594337659	4.88257111	5.227703888	4.63742846	5.548509456	4.980208525	6.480024936	6.477459462	6.012368647	5.221245876	5.516063146	6.604285831	5.828211191	5.21196829	5.409842635	4.781855769	4.753098195	6.027496306
Solyc11g017010.1	10.38783343	11.055839	10.36427515	10.31587454	11.0302434	10.59063302	10.43602066	9.640225808	11.66987656	11.82666743	11.53762536	11.91602049	9.752543075	11.05148252	10.23682035	9.222427628	10.25998042	10.07631519	9.767979508	10.24595561	10.55379107	10.31223537	10.99968556	10.55578609	10.214045	11.49999456
Solyc11g017070.1	8.720673545	7.266582622	6.531908218	6.236850845	7.643670885	7.772790891	8.313602564	6.183889206	8.385941034	8.961115893	7.936617537	8.307514147	7.449979045	8.2460705	8.36090749	5.935664601	6.948497085	8.221506124	7.512847772	6.826067138	7.453776527	7.920579371	9.083577514	8.689404208	9.06560637	7.94447715
Solyc11g017230.1	3.596849418	3.723289727	3.890259353	3.982409036	3.621285811	3.646570683	3.866781755	3.442017225	3.747254239	3.955692626	4.14904864	3.604045196	3.640602075	3.662211594	3.779275705	4.15402032	3.728918702	3.864348837	3.75984367	3.460841819	3.646584714	3.828666298	4.002145864	3.794442102	3.976179486	3.614808456
Solyc11g017240.1	8.801912542	8.886127253	7.48473552	9.358195714	7.567033265	8.77468237	8.658705034	9.264518989	7.431518181	7.916560552	8.523178976	8.667308351	9.069441183	8.059102685	8.935264797	9.457503812	9.457189606	8.691410332	8.418112376	9.2588014	8.583120486	8.97929661	8.713585187	8.535606909	7.160582984	9.105688113
Solyc11g017300.1	9.555668991	9.272671121	9.225003705	9.303848807	9.350824518	8.867820234	9.346560891	9.557990076	9.3719145	9.124404907	9.270124628	9.215207823	9.246770442	9.177379567	9.456154134	9.629441315	9.408147695	9.089815769	9.292947367	9.326130082	9.277917804	9.318391746	8.832450261	9.502942826	9.36565644	9.302229101
Solyc11g017400.1	5.31291235	4.92298633	4.908579054	4.918516931	5.172601217	5.250709185	5.244676776	5.299328607	5.380232148	5.3852479	5.25296503	5.284917083	5.236149641	5.305221944	5.291288453	4.650386393	5.193536231	5.248613452	5.176504863	4.807116152	5.092897313	5.180944712	5.173528674	5.238059945	5.428214034	5.106955971
Solyc11g017470.1	8.007394236	8.663365085	8.277799686	7.585944685	8.399786914	9.151395899	8.564338171	8.34597862	8.98932698	6.797020539	7.064812308	7.423575853	8.268329083	8.689234485	8.247582463	7.567944846	8.169337519	7.048616148	7.652065816	8.894234072	9.05683907	8.155337103	8.550272015	8.202394093	7.602389043	8.703449958
